,0
0,Washington
1,New Jersey
2,Nevada
3,California
4,Texas
5,Maryland
6,Idaho
7,Utah
8,Kentucky
9,Kansas
10,Georgia
11,West Virginia
12,New Hampshire
13,Wisconsin
14,Alaska
15,Maine
16,Missouri
17,Wyoming
18,Illinois
19,Massachusetts
20,Connecticut
21,Hawaii
22,South Dakota
23,Michigan
24,New York
25,Oregon
26,Colorado
27,Mississippi
28,Arkansas
29,Montana
30,Rhode Island
31,Louisiana
32,North Dakota
33,Arizona
34,Tennessee
35,Nebraska
36,South Carolina
37,Virginia
38,Oklahoma
39,Pennsylvania
40,Iowa
41,North Carolina
42,Minnesota
43,Vermont
44,Florida
45,Delaware
46,Indiana
47,Alabama
